Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
,,,,
"Oyelumade, Tomisin",58310890900,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Daniel, Lekia Damilola",57222900589,1,"Medicine
",
"Musi Oyewole, Bello",56005140600,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Ariyo, Esther Opeyemi",57202584394,6,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Computer Science
",
"Oni, Ayodeji Victor",57222560981,1,"Earth and Planetary Sciences
Environmental Science
",
"Lajide, E.",55037347300,1,"Chemistry
",
"Omolofe, Babatope",35090517800,10,"Engineering
Materials Science
Physics and Astronomy
Computer Science
",
"Duromola, M. K.",57456781100,1,"Mathematics
Computer Science
",
"Okoliko, Ukwenya",57996615100,1,"Medicine
Neuroscience
",
"Olaniyan, Oluwabunmi O.",57221738851,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Samuel, Oluwakemi D.",57719452300,1,"Environmental Science
Medicine
",
"Ayodele, Olabisi",57549148100,1,"Chemistry
Agricultural and Biological Sciences
",
"Babade, Olukemi Christiana",58221791100,1,"Environmental Science
Earth and Planetary Sciences
",
"Olamide Taiwo, Blessing",57930378500,1,"Earth and Planetary Sciences
Engineering
Environmental Science
",
"Unuigboje, Mary A.",57220186920,1,"Environmental Science
Biochemistry, Genetics and Molecular Biology
",
"Aiyesanmi Ademola, F.",55155473200,1,"Agricultural and Biological Sciences
Environmental Science
",
"Fadugba, O. G.",57212380624,14,"Environmental Science
Engineering
Earth and Planetary Sciences
Materials Science
Business, Management and Accounting
Agricultural and Biological Sciences
Decision Sciences
",0000-0003-4065-8598
"Koleoso, Sunday Olawale",57217381971,1,"Engineering
Decision Sciences
",
"Zannu, F. J.",57210417930,2,"Materials Science
",
"Ifelola, O. E.",58157833600,1,"Earth and Planetary Sciences
Engineering
Environmental Science
",
"Adeyemi, K.",24337576900,1,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Oladun, Folasade Loyal",57211487697,2,"Medicine
Pharmacology, Toxicology and Pharmaceutics
",
"Bichang'A, D. O.",57547528100,1,"Engineering
Materials Science
",
"Ogunsua, Augustine Oladele",6506017211,19,"Agricultural and Biological Sciences
Engineering
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Chemistry
Environmental Science
Nursing
Pharmacology, Toxicology and Pharmaceutics
Medicine
Computer Science
",
"Obembe, O. M.",58341597500,1,"Computer Science
",
"Aissatou, Sita",58115091700,1,"Earth and Planetary Sciences
",
"Okon, Enoabasi Ima Abasi",58044172000,1,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Simeon-Oke, Olayemi Oladehinde",57194156634,1,"Engineering
Business, Management and Accounting
",
"Ojokoh, Bolanle Adefowoke",36651575700,45,"Computer Science
Social Sciences
Decision Sciences
Business, Management and Accounting
Engineering
Mathematics
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Medicine
Chemistry
",
"Areo, Felicia I.",57218619286,2,"Environmental Science
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Chemistry
",
"Adeyeye, S. D.",57219455110,1,"Engineering
",
"Ibitoye, Matthew Olomolatan",56602717200,7,"Environmental Science
Earth and Planetary Sciences
Engineering
Physics and Astronomy
Materials Science
Chemical Engineering
Social Sciences
Computer Science
Business, Management and Accounting
Agricultural and Biological Sciences
",
"Oladele, Oluwole E.",57203980368,2,"Materials Science
Engineering
",
"Adelusi, Adefemi Oluseye",57782392800,1,"Engineering
",
"Bello, Morenikejimi",57226181901,3,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Chemical Engineering
Medicine
",
"Ogunmokunwa, Adesua Emmanuel",57890841900,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Ayodele, O. V.",57358229800,1,"Social Sciences
Agricultural and Biological Sciences
",
"Ofuga, E. E.",8403859800,1,"Environmental Science
",
"Anabaranze, Y. O.",56707378200,1,"Engineering
Physics and Astronomy
Materials Science
",
"Adebayo, A. I.",58256408800,1,"Biochemistry, Genetics and Molecular Biology
",
"Williams, Olabukunola",57214591048,1,"Mathematics
Social Sciences
",
"Olorunfemi, Margaret A.",57221864509,1,"Engineering
Agricultural and Biological Sciences
Chemical Engineering
",
"Akindele, Shadrach Olufemi",6508163015,7,"Agricultural and Biological Sciences
Environmental Science
Nursing
Social Sciences
Medicine
Energy
Earth and Planetary Sciences
",
"Omoniyi, Lukman A.",57216786211,1,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
",
"Adu, Babasola Williams",57198422010,9,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
